rank,name,year,rating,genre,certificate,run_time
200,Mary and Max,2009,8.1,"Animation,Comedy,Drama",Not Rated,1h 32m
201,How to Train Your Dragon,2010,8.1,"Animation,Action,Adventure",PG,1h 38m
202,Room,2015,8.1,"Drama,Thriller",R,1h 58m
203,"Monsters, Inc.",2001,8.1,"Animation,Adventure,Comedy",G,1h 32m
204,Jaws,1975,8.1,"Adventure,Thriller",PG,2h 4m
205,Dead Poets Society,1989,8.1,"Comedy,Drama",PG,2h 8m
206,The Big Lebowski,1998,8.1,"Comedy,Crime",R,1h 57m
207,Tokyo Story,1953,8.2,Drama,Not Rated,2h 16m
208,The Passion of Joan of Arc,1928,8.2,"Biography,Drama,History",Passed,1h 54m
209,Hotel Rwanda,2004,8.1,"Biography,Drama,History",PG-13,2h 1m
210,Ford v Ferrari,2019,8.1,"Action,Biography,Drama",PG-13,2h 32m
211,Rocky,1976,8.1,"Drama,Sport",PG,2h
212,Platoon,1986,8.1,"Drama,War",R,2h
213,Ratatouille,2007,8.1,"Animation,Adventure,Comedy",G,1h 51m
214,Spotlight,2015,8.1,"Biography,Crime,Drama",R,2h 9m
215,The Terminator,1984,8.1,"Action,Sci-Fi",R,1h 47m
216,Logan,2017,8.1,"Action,Drama,Sci-Fi",R,2h 17m
217,Stand by Me,1986,8.1,"Adventure,Drama",13+,1h 29m
218,Rush,2013,8.1,"Action,Biography,Drama",R,2h 3m
219,Network,1976,8.1,Drama,R,2h 1m
220,Into the Wild,2007,8.1,"Adventure,Biography,Drama",R,2h 28m
221,Before Sunset,2004,8.1,"Drama,Romance",R,1h 20m
222,The Wizard of Oz,1939,8.1,"Adventure,Family,Fantasy",G,1h 42m
223,Pather Panchali,1955,8.3,Drama,Not Rated,2h 5m
224,Groundhog Day,1993,8.1,"Comedy,Drama,Fantasy",PG,1h 41m
225,The Best Years of Our Lives,1946,8.1,"Drama,Romance,War",Approved,2h 50m
226,The Exorcist,1973,8.1,Horror,R,2h 2m
